--------- beginning of system
06-28 18:31:49.289  1114  1817 I ActivityManager: Process com.baidu.input_huawei (pid 3321) has died: fore SVC 
06-28 18:31:49.290  1114  1817 D ActivityManager: cleanUpApplicationRecord app: ProcessRecord{a94c995 3321:com.baidu.input_huawei/u0a59}, app.bad: false, restarting: false, allowRestart: true
06-28 18:31:49.291  1869  1885 I BoosterSwitchP: notifyUidState do nothing
06-28 18:31:49.291  1869  1885 I DeepNoDisturbP: notifyUidState
06-28 18:31:49.291  1869  1885 I HidataAppQoeP: notifyUidState
06-28 18:31:49.291  1869  1885 I BrowserChrP: notifyUidState
06-28 18:31:49.454  1114  1273 W HwPackageManagerServiceEx: isEnterpriseDisallowUninstallApk disallowUninstallPkgList : null
06-28 18:31:49.454  1114  1273 D PackageManager: mFrozenPackages add package:com.mixgo.PropertySEO
06-28 18:31:49.454  1114  1222 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10400 user=-1: deletePackageX
06-28 18:31:49.456  1114  1222 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10400 user=-1: uninstall pkg
06-28 18:31:49.464  1114  1273 I PackageManager: Removing old permission tree: com.mixgo.PropertySEO.permission.JPUSH_MESSAGE from package com.mixgo.PropertySEO
06-28 18:31:49.507  1114  1273 D PackageManager: clear pref activity com.mixgo.PropertySEO from uid 1000
06-28 18:31:49.688  1114  1273 D PackageManager: mFrozenPackages remove package:com.mixgo.PropertySEO
06-28 18:31:49.794  1114  1581 I HwAudioServiceEx: check HiRes Icon false
06-28 18:31:49.906  1114  1217 I PackageManager: writePermissionsSync -> user:0, put true:, Build.FINGERPRINT:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys, fingerprint:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys
06-28 18:31:49.963  1114  1273 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10400 user=0: pkg removed
06-28 18:31:50.040  1920  2896 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.ensureIndexSearchServiceBound:342 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.buildIndex:287 com.huawei.nb.searchmanager.tasker.IndexTasker.doIndexTaskerAction:94 
06-28 18:31:50.073 31111  3794 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.client.RemoteServiceConnection.open:90 com.huawei.nb.client.DataServiceProxy.connect:129 com.huawei.nb.searchmanager.searchengine.service.RemoteIndexSearchService.getDataServiceProxy:121 
06-28 18:31:50.105  1869  1869 I HwKeystoreServiceImpl: ACTION_PACKAGE_REMOVED userId:0 appId:10400 packageName:com.mixgo.PropertySEO removeAll:true
06-28 18:31:50.111  1869  1869 I HwKeystoreServiceImpl: UserInfo uid:0
06-28 18:31:50.152  1114  1558 I NetworkStats: ACTION_UID_REMOVED onReceive
06-28 18:31:50.153  1114  1558 I NetworkStats: performPollLocked, pid = 1114
06-28 18:31:50.167  1114  1471 I HwNetworkPolicy: onTransact, code = 202
06-28 18:31:50.167  2017  2017 I HwNetworkPolicyManager: removeHwUidPolicy uid = 10400 policy = -1 opPackageName = com.huawei.systemmanager
06-28 18:31:50.174  1869  1869 I PreDnsQuery: onReceive: intent = android.intent.action.PACKAGE_REMOVED
06-28 18:31:50.174  2017  2547 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.checkRarelyUsedApp:100 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.doInBackground:46 java.lang.reflect.Method.invoke:-2 
06-28 18:31:50.177  1114  1471 D SecurityProfileService: removeLabel:com.mixgo.PropertySEO
06-28 18:31:50.184  1114  1558 W NetworkStatsFactory: mStatsXtProcUid: /proc/net/comm/stats does not exist!
06-28 18:31:50.185  1114  1558 D HwNetworkStatsService: hwRecordUidAndProcSnapshotLocked currentTime = 1561717910151
06-28 18:31:50.186  1114  1471 D SecurityProfileDB: writing: {
06-28 18:32:11.837  1114  1273 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.mixgo.PropertySEO at: Binary XML file line #52
06-28 18:32:11.837  1114  1273 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.mixgo.PropertySEO at: Binary XML file line #53
06-28 18:32:11.837  1114  1273 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.mixgo.PropertySEO at: Binary XML file line #54
06-28 18:32:11.837  1114  1273 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SYSTEM_ALERT_WINDOW in package: com.mixgo.PropertySEO at: Binary XML file line #55
06-28 18:32:11.839  1114  1273 W PackageParser: No actions in intent filter at /data/app/vmdl1920533670.tmp/base.apk Binary XML file line #173
06-28 18:32:11.942  1114  1273 D PackageManager: installPackageLI-> install derivePackageAbi case, pkg=Package{64346a0 com.mixgo.PropertySEO}, primaryCpuAbi=armeabi-v7a
06-28 18:32:11.946  1114  1273 D PackageManager: mFrozenPackages add package:com.mixgo.PropertySEO
06-28 18:32:12.108  1114  1273 D PackageManager: mFrozenPackages remove package:com.mixgo.PropertySEO
06-28 18:32:12.296  1114  1273 I HwPackageManagerService: AntiMalware is closed
06-28 18:32:12.298  1114  1273 V BackupManagerService: restoreAtInstall pkg=com.mixgo.PropertySEO token=18 restoreSet=0
06-28 18:32:12.300  1114  1273 V BackupManagerService: Finishing install immediately
06-28 18:32:12.322  1114  1273 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1208 com.android.server.pm.HwPackageManagerService.parseInstalledPkgInfo:2926 com.android.server.pm.PackageManagerService.parseInstalledPkgInfo:26786 com.android.server.pm.PackageManagerService.access$1000:504 com.android.server.pm.PackageManagerService$PackageHandler.doHandleMessage:1921 
06-28 18:32:12.326  1114  1273 V HwPackageManagerService: POST_INSTALL:  pkgName = com.mixgo.PropertySEO, pkgUri = /data/app/vmdl1920533670.tmp;, pkgInstalledPath = /data/app/vmdl1920533670.tmp, pkgInstallerPackageName = , pkgVerName = 1.05, pkgVerCode = 105, resultCode = 1, pkgUpdate = false, pkgMetaHash = f9a0cf8c266a0cd465c479e29e48ab460267ba132d22d340317738a47fff0888
06-28 18:32:12.382  1869  1869 I PreDnsQuery: onReceive: intent = android.intent.action.PACKAGE_ADDED
06-28 18:32:12.390  1114  1559 D NetdConnector: SND -> {2519 firewall set_uid_rule standby 10401 deny}
06-28 18:32:12.401  1114  1555 D NetdConnector: RCV <- {200 2519 Firewall command succeeded}
06-28 18:32:12.401  1114  1555 D NetdConnector: RCV <- {200 2519 Firewall command succeeded}
06-28 18:32:12.437  1114  1114 V NotificationListeners: enabling notification listener for 0: ComponentInfo{com.baidu.searchbox/com.baidu.searchbox.lockscreen.notification.NotificationMonitorService}
06-28 18:32:12.462  1114  1217 I PackageManager: writePermissionsSync -> user:0, put true:, Build.FINGERPRINT:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys, fingerprint:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys
06-28 18:32:12.477  1114  1114 V NotificationListeners: binding: Intent { act=android.service.notification.NotificationListenerService cmp=com.baidu.searchbox/.lockscreen.notification.NotificationMonitorService (has extras) }
06-28 18:32:12.484  1114  1217 I [SPMN]  : insert SECURE -- name = accessibility_enabled, package = android, user = 0, value = 1
06-28 18:32:12.494  1114  2469 I HwNetworkPolicy: onTransact, code = 202
06-28 18:32:12.495  2017  2017 I HwNetworkPolicyManager: removeHwUidPolicy uid = 10401 policy = -1 opPackageName = com.huawei.systemmanager
06-28 18:32:12.495  1114  1114 W NotificationListeners: Unable to bind notification listener service: Intent { act=android.service.notification.NotificationListenerService cmp=com.baidu.searchbox/.lockscreen.notification.NotificationMonitorService (has extras) }
06-28 18:32:12.495  1114  1114 W NotificationListeners: Not binding notification listener service ComponentInfo{android/com.android.server.emcom.grabservice.NotificationListener}: service not found
06-28 18:32:12.495  1114  1114 W NotificationAssistants: rebindServices() ignore for NotificationAssistantService
06-28 18:32:12.496  1114  1114 D SecurityProfileService: updatePackageInformation,packageName:com.mixgo.PropertySEO
06-28 18:32:12.496  1114  1114 D SecurityProfileService: updateDomainPolicies,packageList:[com.mixgo.PropertySEO]
06-28 18:32:12.496  1114  1114 D SecurityProfileService: resolveActiveDomainPolicies packageName com.mixgo.PropertySEO
06-28 18:32:12.497  1114  1114 D SecurityProfileUtils: getInstalledApkPath name success,packageName:com.mixgo.PropertySEO,userId:0,ApkPath:/data/app/com.mixgo.PropertySEO-Dzq8clkG1tN8YGkScY_uBQ==/base.apk
06-28 18:32:12.497  1114  1114 D SecurityProfileService: selected1 policy:{"labels":[]}
06-28 18:32:12.497  1114  1114 D SecurityProfileService: selected2 policy:{"labels":[]}
06-28 18:32:12.498  2017  5044 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.checkRarelyUsedApp:100 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.doInBackground:46 java.lang.reflect.Method.invoke:-2 
06-28 18:32:12.498  1114  1114 D SecurityProfileDB: writing: {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:     "overlay_labels": {},
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:     "domains": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.huawei.smarthome": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 6,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "8kAADpcRny0My5sa9TarBImvXnGs4epGshhmrbOt2Js=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.ximalaya.ting.android": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 2,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "ltEwA2NUWdvMg5xpCVbO2OYvn5VUqmcGgsUQtvGID08=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.vmall.client": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "MjshbEeBIuhNyAmxiJ8bUyQbdfOiMe4LVrdpyfyBLck=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.sankuai.meituan": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "DKU1i0LxsGMELL1XP+nvBf2tmfscYNMyOD1Wcn81I\/g=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.sina.weibo": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 2,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "l944bQfPHpM2fV55AYaYSJEECMdSHqTgLq9mpTzbsdM=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v1_manifest"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.jingdong.app.mall": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 5,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "99vPRWT72SI4wpJtYTyp73R7n8DsnfCYKdJeFo\/XwQ4=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.huawei.skytone": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 5,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "bQkvtDA621g+R22lmNBqKIBF1uTK9VrNkTR2wBkOVlo=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v1_manifest"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.netease.cloudmusic": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 2,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "AyxPO+T8EMGK\/g8wVSPiiO2znTSj\/u2HjrUHL94IaQI=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.taobao.taobao": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "Yc7yPxAixudfqvGFqS0oj7SvZRpuvuvMlU44navCvW8=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.microsoft.translator": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "h7kdJ8VdY8vQT9aOfNo\/9PNwLECu4pmbofPgVoqUMM0=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v1_manifest"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:         "com.ss.android.article.news": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "policy_version": 5,
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "digest": "lUcykKsy6QxUGySDftJZyPcPXJR90W3wbtmKuHFjPGI=",
06-28 18:32:12.498  1114  1114 D SecurityProfileDB:                 "signature_scheme
06-28 18:32:12.519 13352 13352 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 android.content.ContextWrapper.startService:664 com.android.settings.applications.BlackListReceiver.onReceive:41 android.app.ActivityThread.handleReceiver:3856 
06-28 18:32:12.568  1114  1114 D SecurityProfileUtils: getInstalledApkPath name success,packageName:com.mixgo.PropertySEO,userId:0,ApkPath:/data/app/com.mixgo.PropertySEO-Dzq8clkG1tN8YGkScY_uBQ==/base.apk
06-28 18:32:12.568  1114  1114 E SecurityProfileService: Not found Exception No APK Signature Scheme v2 block in APK Signing Block
06-28 18:32:12.569  1114  1114 I SecurityProfileService: update PackageSigned Info Action:put, packageName:com.mixgo.PropertySEO,hasValidPolicy:false
06-28 18:32:12.569  1114  1114 D SecurityProfileDB: writing: {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:     "overlay_labels": {},
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:     "domains": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.huawei.smarthome": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 6,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "8kAADpcRny0My5sa9TarBImvXnGs4epGshhmrbOt2Js=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.ximalaya.ting.android": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 2,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "ltEwA2NUWdvMg5xpCVbO2OYvn5VUqmcGgsUQtvGID08=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.vmall.client": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "MjshbEeBIuhNyAmxiJ8bUyQbdfOiMe4LVrdpyfyBLck=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.sankuai.meituan": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 3,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "DKU1i0LxsGMELL1XP+nvBf2tmfscYNMyOD1Wcn81I\/g=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.sina.weibo": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 2,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "l944bQfPHpM2fV55AYaYSJEECMdSHqTgLq9mpTzbsdM=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v1_manifest"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.jingdong.app.mall": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 5,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest": "99vPRWT72SI4wpJtYTyp73R7n8DsnfCYKdJeFo\/XwQ4=",
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "signature_scheme": "v2"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "rules": [],
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "labels": [
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "NORMAL"
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             ]
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         },
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:         "com.huawei.skytone": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "policy_version": 5,
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:             "apk_digest": {
06-28 18:32:12.569  1114  1114 D SecurityProfileDB:                 "digest_algorithm": "SHA-256",
